ID,Odometer (mi),Date,Fill Amount,Fill Units,Price per Gallon,Partial Fill,Latitude,Longitude,Trip Distance,MPG,Money Spent
89,22195,8/27/2011,7.913,Gal,4.039,,,,130,16.4286617,$31.96 
90,22382,9/5/2011,11.588,Gal,3.956,,42.426411,-71.248978,187,16.1373835,$45.84 
91,22617,9/14/2011,11.85,Gal,3.999,,42.388981,-71.142654,235,19.83122363,$47.39 
92,22862,9/30/2011,12.699,Gal,3.899,,42.443108,-71.229393,245,19.29285771,$49.51 
93,23020,10/7/2011,12.512,Gal,3.779,,42.411987,-71.238663,158,12.62787724,$47.28 
94,23190,10/15/2011,12.036,Gal,3.959,,42.361626,-71.144142,170,14.12429379,$47.65 
95,23435,10/18/2011,12.309,Gal,3.949,,42.366295,-71.120041,245,19.90413519,$48.61 
96,23654,10/21/2011,10.699,Gal,3.999,,44.038456,-71.674927,219,20.46920273,$42.79 
97,23898,10/27/2011,10.379,Gal,3.799,,42.386898,-71.136581,244,23.50900858,$39.43 
98,24046,10/30/2011,10.78,Gal,3.839,,42.439064,-71.254349,148,13.72912801,$41.38 
99,24211,11/5/2011,12.169,Gal,3.839,,42.439659,-71.250557,165,13.55904347,$46.72 
100,24412,11/13/2011,11.022,Gal,3.839,,42.440292,-71.249138,201,18.23625476,$42.31 
101,24621,11/26/2011,11.841,Gal,3.649,,42.291721,-71.133865,209,17.65053627,$43.21 
102,24794,12/3/2011,11.579,Gal,3.519,,42.36586,-71.106033,173,14.94084118,$40.75 
103,24982,12/10/2011,10.865,Gal,3.559,,42.204361,-71.185333,188,17.30326737,$38.67 
104,25100,12/18/2011,8.325,Gal,3.699,,42.384007,-71.137344,118,14.17417417,$30.79 
105,25287,12/25/2011,11.937,Gal,3.619,,42.424225,-71.214066,187,15.66557762,$43.20 
106,25446,12/31/2011,11.093,Gal,3.599,,42.413433,-71.240913,159,14.33336338,$39.92 
107,25626,1/7/2012,11.928,Gal,3.679,,42.412338,-71.234795,180,15.09054326,$43.88 
108,25892,1/9/2012,12.623,Gal,3.609,,43.021889,-71.460541,266,21.07264517,$45.56 
109,26100,1/13/2012,12.503,Gal,3.749,,42.358009,-71.115944,208,16.63600736,$46.87 
110,26297,1/18/2012,11.634,Gal,3.639,,42.376114,-71.155655,197,16.93312704,$42.34 
111,26447,1/29/2012,10.685,Gal,3.849,,42.374546,-71.116173,150,14.03837155,$41.13 
112,26573,2/4/2012,9.165,Gal,3.719,,42.373318,-71.208511,126,13.74795417,$34.08 
113,26758,2/14/2012,12.316,Gal,3.999,,42.369156,-71.160126,185,15.02111075,$49.25 
114,26913,2/20/2012,10.701,Gal,3.879,,42.409313,-71.234383,155,14.4846276,$41.51 
115,27042,2/25/2012,9.162,Gal,3.839,,42.439835,-71.250511,129,14.07989522,$35.17 
116,27214,3/7/2012,11.396,Gal,3.979,,42.374367,-71.20639,172,15.09301509,$45.34 
117,27400,3/12/2012,11.562,Gal,3.979,,42.374516,-71.209465,186,16.08718215,$46.01 
118,27599,3/19/2012,13.109,Gal,4.079,,42.385818,-71.136391,199,15.18041041,$53.47 
119,27807,3/24/2012,12.961,Gal,3.979,,42.682598,-71.053596,208,16.04814443,$51.57 
120,28021,3/29/2012,13.569,Gal,3.999,,,,214,15.77124328,$54.26 
121,28222,4/5/2012,12.658,Gal,4.219,,42.385784,-71.136688,201,15.87928583,$53.40 
122,28389,4/7/2012,8.683,Gal,4.039,,42.42281,-71.24675,167,19.23298399,$35.07 
123,28615,4/10/2012,11.371,Gal,4.219,,42.38625,-71.137634,226,19.87512092,$47.97 
124,28796,4/15/2012,11.325,Gal,4.259,,42.387115,-71.137085,181,15.98233996,$48.23 
125,28927,4/20/2012,9.285,Gal,4.299,,42.361488,-71.115715,131,14.1087776,$39.92 
126,29223,4/22/2012,2.393,Gal,4.359,Yes,41.308449,-72.93512,296,,$10.43 
127,29228,4/22/2012,10.721,Gal,4.599,,41.320423,-72.907646,5,22.95256977,$49.31 
128,29447,4/26/2012,12.241,Gal,4.079,,42.439751,-71.256241,219,17.8906952,$49.93 
129,29626,5/2/2012,11.137,Gal,4.079,,42.439838,-71.255791,179,16.07255096,$45.43 
130,29801,5/10/2012,11.631,Gal,4.299,,42.372929,-71.16021,175,15.04599776,$50.00 
131,29981,5/18/2012,13.065,Gal,3.959,,42.37627,-71.243217,180,13.77726751,$51.72 
132,30152,5/23/2012,11.744,Gal,4.059,,42.362976,-71.143539,171,14.5606267,$47.67 
133,30371,5/27/2012,11.405,Gal,4.019,,41.651775,-70.280113,219,19.20210434,$45.84 
134,30535,5/29/2012,8.769,Gal,3.959,,42.43972,-71.250664,164,18.70224655,$34.72 
